CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Avg_Utilization_Ratio,Pay_on_time,Random_numbers
708082083,no,45,female,3,secondary,married/living with partner,<30k,blue,36,3544.00,0.469,no,0.686812064743699
708084558,yes,46,male,3,third level,divorced,71 – 110k,blue,38,8258.00,0.214,no,0.561856884623892
708085458,no,34,female,2,primary,single,<30k,blue,24,1438.30,0.000,yes,0.0410559637908287
708098133,no,32,female,0,third level,married/living with partner,<30k,blue,19,2834.00,0.500,no,0.0138941258984308
708099183,no,37,female,2,secondary,single,<30k,blue,36,5723.00,0.327,no,0.739904014427843
708100533,no,55,female,3,third level,single,<30k,blue,36,2679.00,0.850,no,0.609360049099306
708103608,no,52,male,1,secondary,single,51 – 70k,blue,45,11898.00,0.212,no,0.304498239333836
708104658,no,46,male,1,third level,#NULL!,31 – 50k,blue,36,1438.30,0.619,no,0.88001039430532
708112008,no,56,male,2,third level,married/living with partner,71 – 110k,blue,36,23510.00,0.045,no,0.644873682145017
708113208,no,53,female,1,secondary,married/living with partner,<30k,blue,36,1688.00,0.000,yes,0.551914808667549
708117933,yes,44,female,2,third level,divorced,<30k,blue,36,1880.00,0.000,yes,0.405112593734325
708119658,no,49,female,4,third level,married/living with partner,31 – 50k,blue,38,12836.00,0.081,no,0.841502653037477
708123033,no,41,female,3,third level,single,<30k,gold,30,11463.00,0.000,yes,0.499136750823342
708125733,no,46,female,2,third level,divorced,<30k,blue,36,1438.30,0.000,yes,0.418270390626581
708129933,no,45,female,4,third level,single,<30k,blue,36,2072.00,0.745,no,0.781611096535783
708134283,no,35,male,2,primary,married/living with partner,<30k,blue,36,3131.00,0.201,no,0.251654941373727
708136908,no,62,female,0,third level,single,<30k,blue,53,2616.00,0.306,no,0.77763123622605
708139833,yes,40,male,3,third level,#NULL!,51 – 70k,blue,30,6391.00,0.000,yes,0.31606643840786
708145908,no,61,female,0,third level,married/living with partner,31 – 50k,blue,50,4906.00,0.445,no,0.432875321392414
708151008,no,49,female,4,third level,married/living with partner,31 – 50k,blue,41,6250.00,0.103,no,0.612087774911505
708152358,yes,54,male,1,third level,#NULL!,71 – 110k,blue,36,18512.00,0.090,no,0.85148118614111
708153558,no,46,male,5,third level,divorced,111k+,blue,31,34516.00,0.052,no,0.139414501186484
708154833,yes,39,female,2,third level,single,<30k,blue,27,1438.30,0.564,no,0.495292486198339
708155733,no,53,male,2,secondary,single,111k+,blue,44,14734.00,0.111,no,0.281327770768646
708158133,yes,45,male,3,third level,married/living with partner,71 – 110k,blue,36,3031.00,0.830,no,0.870049798920514
708160008,no,44,male,1,primary,married/living with partner,111k+,blue,33,34516.00,0.031,no,0.0535892132101852
708161133,no,45,male,1,third level,single,31 – 50k,blue,32,6629.00,0.210,no,0.226175656526815
708170508,yes,38,male,2,third level,married/living with partner,51 – 70k,blue,36,1438.30,0.000,yes,0.662755177762251
708171858,no,33,female,3,third level,married/living with partner,31 – 50k,blue,28,1864.00,0.580,no,0.934779564159734
708174708,no,38,male,4,third level,married/living with partner,31 – 50k,blue,27,5535.00,0.231,no,0.838880120270189
708176208,no,48,female,1,third level,married/living with partner,31 – 50k,blue,36,7268.00,0.000,yes,0.456263444675115
708177333,no,51,female,2,secondary,married/living with partner,<30k,gold,36,11261.00,0.221,no,0.0101826840155131
708185208,no,27,male,0,third level,single,31 – 50k,blue,16,3178.00,0.352,no,0.249719706554268
708186933,yes,33,male,1,third level,single,51 – 70k,blue,36,1819.00,0.399,no,0.28946591705164
708190158,yes,38,female,3,secondary,single,<30k,blue,26,2920.00,0.831,no,0.674528517554705
708193008,no,41,male,4,primary,single,71 – 110k,blue,30,14480.00,0.000,yes,0.809032226782744
708195633,no,40,male,2,secondary,#NULL!,71 – 110k,gold,32,34516.00,0.034,no,0.11777347263686
708205083,no,38,female,1,secondary,married/living with partner,<30k,blue,28,1438.30,0.000,yes,0.637447209086998
708207783,no,50,female,3,secondary,single,<30k,blue,42,1477.00,0.000,yes,0.982567870615611
708208758,no,53,male,1,third level,single,71 – 110k,blue,45,1826.00,0.484,no,0.973119321114224
708211383,no,35,female,3,third level,single,<30k,blue,27,2664.00,0.000,yes,0.917969732610449
708212658,no,38,female,3,third level,married/living with partner,<30k,blue,18,2193.00,0.575,no,0.788391026365634
708216108,no,56,female,1,third level,married/living with partner,31 – 50k,blue,44,4088.00,0.381,no,0.357762457033237
708217758,no,63,male,2,third level,married/living with partner,51 – 70k,blue,49,14035.00,0.147,no,0.841265348542299
708219108,no,49,male,3,third level,divorced,71 – 110k,blue,38,9959.00,0.115,no,0.0367900942045193
708219858,no,39,male,2,third level,single,31 – 50k,blue,26,6423.00,0.000,yes,0.213567756862718
708222558,no,37,female,2,third level,married/living with partner,<30k,blue,36,2310.00,0.655,no,0.450890330760754
708224133,no,61,male,0,primary,single,31 – 50k,blue,49,2228.00,0.664,no,0.32377155876191
708225483,no,47,male,4,third level,married/living with partner,71 – 110k,blue,36,11242.00,0.139,no,0.719280422842437
708226833,no,53,male,1,secondary,married/living with partner,111k+,blue,44,34516.00,0.024,no,0.378451118765942
708234558,no,55,female,2,third level,divorced,<30k,blue,43,2239.00,0.598,no,0.651328892889035
708238833,no,57,female,3,secondary,married/living with partner,<30k,blue,36,3032.00,0.731,no,0.19348859738738
708241233,yes,52,female,3,third level,single,<30k,blue,47,2972.00,0.000,yes,0.797503869006881
